consumption and contribution for event A on v1
time slice 1
4 , 55296 , 39579 , 0.715766
5 , 73133 , 52397 , 0.716462
6 , 93214 , 66917 , 0.717886
7 , 109211 , 78099 , 0.71512
8 , 127511 , 91250 , 0.715625
9 , 147081 , 105621 , 0.718115
10 , 165663 , 118705 , 0.716545
11 , 51879 , 0 , 0
12 , 46508 , 0 , 0
13 , 41469 , 0 , 0
14 , 35863 , 0 , 0
15 , 31362 , 0 , 0
16 , 25718 , 0 , 0
17 , 20581 , 0 , 0
18 , 15550 , 0 , 0
19 , 10287 , 0 , 0
20 , 5076 , 0 , 0
===============================================
time slice 2
2 , 16931 , 11464 , 0.677101
3 , 32805 , 22206 , 0.676909
4 , 47674 , 32137 , 0.674099
5 , 64005 , 43308 , 0.676635
6 , 80828 , 54578 , 0.675236
7 , 96936 , 65419 , 0.674868
8 , 111524 , 75048 , 0.672931
9 , 128890 , 87096 , 0.675739
10 , 144770 , 97833 , 0.675782
11 , 52049 , 0 , 0
12 , 47094 , 0 , 0
13 , 42014 , 0 , 0
14 , 36484 , 0 , 0
15 , 30952 , 0 , 0
16 , 25715 , 0 , 0
17 , 20619 , 0 , 0
18 , 15346 , 0 , 0
19 , 10537 , 0 , 0
20 , 5029 , 0 , 0
===============================================
time slice 3
2 , 13699 , 8451 , 0.616906
3 , 27440 , 17032 , 0.6207
4 , 40750 , 25151 , 0.617202
5 , 54536 , 33684 , 0.617647
6 , 68884 , 42564 , 0.617908
7 , 82824 , 51154 , 0.617623
8 , 95518 , 58809 , 0.615685
9 , 110275 , 68117 , 0.617701
10 , 123268 , 76082 , 0.617208
11 , 51721 , 0 , 0
12 , 46679 , 0 , 0
13 , 41489 , 0 , 0
14 , 36251 , 0 , 0
15 , 30957 , 0 , 0
16 , 26100 , 0 , 0
17 , 20700 , 0 , 0
18 , 15295 , 0 , 0
19 , 10408 , 0 , 0
20 , 5218 , 0 , 0
===============================================
time slice 4
2 , 11307 , 6038 , 0.534005
3 , 22731 , 12239 , 0.538428
4 , 33455 , 17895 , 0.534898
5 , 45376 , 24393 , 0.537575
6 , 55497 , 29581 , 0.53302
7 , 67215 , 35817 , 0.532872
8 , 77971 , 41561 , 0.533032
9 , 89587 , 48008 , 0.535881
10 , 100908 , 53971 , 0.534854
11 , 51772 , 0 , 0
12 , 46815 , 0 , 0
13 , 41250 , 0 , 0
14 , 36222 , 0 , 0
15 , 30729 , 0 , 0
16 , 25778 , 0 , 0
17 , 20890 , 0 , 0
18 , 15495 , 0 , 0
19 , 10157 , 0 , 0
20 , 5162 , 0 , 0
===============================================
time slice 5
2 , 9119 , 3729 , 0.408926
3 , 17625 , 7164 , 0.406468
4 , 26457 , 10838 , 0.409646
5 , 35800 , 14761 , 0.412318
6 , 43805 , 17822 , 0.406849
7 , 52950 , 21557 , 0.40712
8 , 61403 , 24752 , 0.403107
9 , 70490 , 28811 , 0.408725
10 , 79472 , 32415 , 0.40788
11 , 51777 , 0 , 0
12 , 46556 , 0 , 0
13 , 41190 , 0 , 0
14 , 36523 , 0 , 0
15 , 31132 , 0 , 0
16 , 25941 , 0 , 0
17 , 20474 , 0 , 0
18 , 15594 , 0 , 0
19 , 10267 , 0 , 0
20 , 5169 , 0 , 0
===============================================
time slice 6
2 , 6361 , 1135 , 0.178431
3 , 12860 , 2399 , 0.186547
4 , 18888 , 3449 , 0.182603
5 , 25247 , 4638 , 0.183705
6 , 31778 , 5929 , 0.186576
7 , 38080 , 6966 , 0.182931
8 , 44341 , 8224 , 0.185472
9 , 50775 , 9426 , 0.185643
10 , 57384 , 10785 , 0.187944
11 , 51778 , 0 , 0
12 , 46226 , 0 , 0
13 , 40896 , 0 , 0
14 , 36005 , 0 , 0
15 , 30638 , 0 , 0
16 , 25838 , 0 , 0
17 , 20312 , 0 , 0
18 , 15188 , 0 , 0
19 , 10293 , 0 , 0
20 , 5058 , 0 , 0
